name,image,link,age,sex,breed,town,postcode,charity,description,date
Adopt Shade,/images/902e2e35-0aaa-4318-aece-4236010a194b/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-shade,,,,,cf72 9nh,Hope Rescue,"Sorry, we cannot find the page you are looking for
 

Please try using the menus or search tool at the top of the page or any of the handy shortcuts we have in our footer at the bottom of the page.",07/21/2025
Adopt Shadow,/images/08be1623-9832-4c59-b101-c87e20a27d53/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-shadow,,,,,cf72 9nh,Hope Rescue,"Sorry, we cannot find the page you are looking for
 

Please try using the menus or search tool at the top of the page or any of the handy shortcuts we have in our footer at the bottom of the page.",07/21/2025
Adopt Simba and Kiara,/images/58009966-d93e-4f17-a0ac-c0cea332e318/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-simba-and-kiara,,,,,cf72 9nh,Hope Rescue,"Sorry, we cannot find the page you are looking for
 

Please try using the menus or search tool at the top of the page or any of the handy shortcuts we have in our footer at the bottom of the page.",07/21/2025
Adopt Skippy,/images/573383a1-69e7-4075-b68d-7a9e05b5ae08/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-skippy,,,,,cf72 9nh,Hope Rescue,"Sorry, we cannot find the page you are looking for
 

Please try using the menus or search tool at the top of the page or any of the handy shortcuts we have in our footer at the bottom of the page.",07/21/2025
Adopt Snowy,/images/b2b04e71-c89a-4d29-9688-31b161276d0f/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-snowy,,,,,cf72 9nh,Hope Rescue,"Sorry, we cannot find the page you are looking for
 

Please try using the menus or search tool at the top of the page or any of the handy shortcuts we have in our footer at the bottom of the page.",07/21/2025
Adopt Stan,/images/d388a74d-f51f-4a30-aabb-a546a39127cd/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-stan,The perfect home,  2 Years Old,  Male,,cf72 9nh,Hope Rescue,"Stan is a fun-loving chap with a sensitive side. This handsome boy is currently looking for a new home with adopters who have the time and patience to help him thrive and develop into a well-rounded dog.

My details

 Pocket Bully

  Male

  2 Years Old

The perfect home

Stan is looking for an adult only home, with someone who can gradually build up the time he is left home alone, as he can find being by himself worrying.


Since being with us, he has shown that he adores being around his handlers. Whenever he hears them coming, he gets very excited and can’t always contain himself when greeting them! When excited, he will jump up and can mouth at hands and arms, but he is learning more appropriate ways of expressing himself!


Stan will need adopters who can help show him that vet trips aren’t too scary. Our staff are currently helping him see the vet room as a positive place, and with continued work in his new home, we can help him to feel more comfortable.


We have introduced Stan to other dogs during his time with us. On approach, he can be unsure, but once he’s had an initial sniff, he soon settles. He prefers the company of calmer dogs, Stan isn't ready to live with another dog at this stage but would do well with walking buddies out and about.

Stan loves playtime! His favourite game is tug of war If you’re after a clever, goofy boy, then Stan’s your man!

Apply to adopt

Share this page
Email
 
Facebook
 
Twitter",07/21/2025
Adopt Tommy,/images/fb04ee0b-da2b-4ddb-8c28-fb6cfe4c11ce/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-tommy,,,,,cf72 9nh,Hope Rescue,"Sorry, we cannot find the page you are looking for
 

Please try using the menus or search tool at the top of the page or any of the handy shortcuts we have in our footer at the bottom of the page.",07/21/2025
Adopt Willow,/images/280dd656-1b84-434d-a50d-2ff89980bed7/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-willow,The perfect home,  1 Year Old, Female,,cf72 9nh,Hope Rescue,"Meet Willow - The energetic and very clever collie!

My details

 Border Collie 

 Female

  1 Year Old

The perfect home

Willow is a beautiful 19 month old Border Collie who is a sweet but sensitive girl. She is looking for an experienced adult only home who have previously owned high energy/ herding breeds. 

Typical of her breed, she thrives on mental and physical stimulation and is on the look out for an active home where she can channel her energy - agility, hoopers or scent work would be perfect outlets for her.

She is house trained and happy to be left alone for short periods. She travels well in the car and would enjoy going on new adventures! Willow could potentially live with another dog dependant on a successful introduction at the Centre and would be better suited to a quiet home that there is low traffic. 

Willow will need to meet her potential adopters several times to build a trusting bond before heading off to her new home. If you're ready for a clever companion and a rewarding project, Willow could be your perfect match.

Apply to adopt

Share this page
Email
 
Facebook
 
Twitter",07/21/2025
Adopt Zippy and Zoom,/images/f4f47a57-83c8-408a-986f-87ea70da9bf7/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-zippy-and-zoom,,,,,cf72 9nh,Hope Rescue,"Sorry, we cannot find the page you are looking for
 

Please try using the menus or search tool at the top of the page or any of the handy shortcuts we have in our footer at the bottom of the page.",07/21/2025
Akira,https://pawprintsdogrescue.org/wp-content/uploads/2025/03/IMG_0416-400x250.jpeg,https://pawprintsdogrescue.org/dog/akira/,,,,,CV23 0RL,Paw Prints Dog Rescue,,07/21/2025
Alba,"https://static.wixstatic.com/media/dcfba8_e04e5f795a944ebc95f5535e1959b7ab~mv2.jpeg/v1/fill/w_403,h_411,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/IMG_2698.jpeg",https://www.rockyroadrescue.co.uk/adopt,Age: Approx 18 months,Male / Female: Female ,,,LU7 9EY,Rocky Road Rescue,,07/21/2025
Albus,https://pawprintsdogrescue.org/wp-content/uploads/2023/10/Reserved-Albums-adopted-400x250.png,https://pawprintsdogrescue.org/dog/albus/,,,,,CV23 0RL,Paw Prints Dog Rescue,,07/21/2025
ALFIE,https://alldogsmatter.co.uk/wp-content/uploads/Alfie-1.jpg,https://alldogsmatter.co.uk/dogs/alfie-4/,Age: 12 years old,Gender: Male,Breed: Shih Tzu,Location: Waltham Abbey,,All Dogs Matter,"Breed: Shih Tzu

Age: 12 years old

Gender: Male

Location: Waltham Abbey

Can Alfie live with cats? No cats please

Can Alfie live with dogs? Could potentially live with a calm female, pending introductions

Can Alfie live with children? Could potentially live with children 12+

More about Alfie: 

Little Alfie came into us after sadly being abandoned. He’s a very sweet little boy who enjoys being around people. He has been a good boy with other dogs when out and enjoys his walks. He would like a home with a private garden and with owners that are around for a large portion of the day to help him settle in. We’re sure he’ll make a lovely addition to his new home.

If you would like to adopt Alfie please fill out a rehoming questionnaire and a member of the team will get in contact within 48 hours. For questions or queries, please contact the office directly –020 8341 3196 / info@alldogsmatter.co.uk",07/21/2025
